"Subject","Trial","Ratio","Display","omega1","omega2","RMSE"
"006",1,60,FALSE,0.967760170658301,0.978817407838744,0.036582493040909
"006",2,60,FALSE,1.04175257783211,0.579414825040578,0.00893163315914714
"006",3,60,FALSE,0.887394039759751,0.328533441257515,0.0454399400118041
"006",4,60,FALSE,0.988323480255776,0.584624158882588,0.00888646498885917
"006",5,60,FALSE,1.11740761199726,0.565134515746223,0.0122432230339464
"006",6,60,FALSE,0.869620554555411,0.756927505700355,0.048662985635352
"006",7,60,FALSE,1.04565340716083,0.682807806002692,0.0302940702084185
"006",8,60,FALSE,0.998685882795266,0.73695863843035,0.00969680363677036
"006",9,90,FALSE,1.00500771406282,0.196894428757738,0.00996901860226036
"006",10,90,FALSE,0.992689760363513,0.140756381172296,0.0316404544347163
"006",11,90,FALSE,1.00488138763288,0.179979469290221,0.0109865784732691
"006",12,90,FALSE,1.04767241154121,0.196751955149588,0.00999039915767992
"006",13,90,FALSE,1.02868877729819,0.181703599164283,0.0129626357967846
"006",14,90,FALSE,1.03339662895466,0.183670928834607,0.0191464360746815
"006",15,90,FALSE,0.953695980388333,0.145463317695227,0.0457805341022416
"006",16,90,FALSE,0.87717503838189,0.245046997891598,0.0173678291642222
"006",17,60,FALSE,0.903364804563279,2.34131788455343,0.0661673713534477
"006",18,60,FALSE,1.08060389093867,0.964786592290942,0.0374636017668754
"006",19,60,FALSE,1.02565674461897,1.01669641006337,0.0147697047334963
"006",20,60,FALSE,1.02555563493579,1.36399292555242,0.0293587365544268
"006",21,60,FALSE,0.961920842084545,1.2295340436991,0.0263983774063162
"006",22,60,FALSE,0.883188900256826,1.23205122226974,0.0157642629498524
"006",23,60,FALSE,0.589585469068416,2.70611816125749,0.0158202114766528
"006",24,60,FALSE,0.816037123234668,1.62442978164896,0.0358985515531349
"006",25,90,FALSE,0.83716128234699,0.323219719069431,0.0370770608399592
"006",26,90,FALSE,1.04017511769862,0.213389530721066,0.0387982093892559
"006",27,90,FALSE,0.892027264838279,0.282522087838593,0.0360881180662132
"006",28,90,FALSE,0.963376503175373,0.195613156454705,0.0226727632201479
"006",29,90,FALSE,0.907199310787597,0.262710828652464,0.0119881843079693
"006",30,90,FALSE,0.404804693664617,0.423110989437791,0.104927641614164
"006",31,90,FALSE,0.95589160444646,0.212550913736297,0.0691812876220197
"006",32,90,FALSE,0.804857660130112,0.227147892984318,0.0308922103750272
"006",33,60,TRUE,1.25408482751077,1.25418178918659,0.0383342511338929
"006",34,60,TRUE,1.27318268997345,0.670698830473117,0.0179132729355504
"006",35,60,TRUE,1.21905411926607,0.46020864044832,0.0142759697701461
"006",36,60,TRUE,1.37985287012217,0.260491505729798,0.0733079477157247
"006",37,60,TRUE,1.18344943788446,0.432868667022684,0.0274939374552088
"006",38,60,TRUE,0.937000566691469,0.683415940006281,0.0159572842933549
"006",39,60,TRUE,1.11347848751021,0.377247316059599,0.00833779226558542
"006",40,60,TRUE,1.11264907922144,0.332097706757553,0.0156310552347195
"006",41,90,TRUE,1.25423042652225,0.078301843721536,0.0203097384791193
"006",42,90,TRUE,1.12131719667014,0.122592553614545,0.0190545934666202
"006",43,90,TRUE,1.19020369923269,0.0873466356302337,0.0149372622188939
"006",44,90,TRUE,1.1508400317613,0.11646272127008,0.011734700797374
"006",45,90,TRUE,1.112683087543,0.16504293750761,0.0130688344707256
"006",46,90,TRUE,1.12992964041433,0.162354701971706,0.0218670743493854
"006",47,90,TRUE,1.09985114207117,0.118456066484897,0.040277350899125
"006",48,90,TRUE,1.03263381004575,0.246288465803418,0.0348723010086342
"006",49,60,TRUE,0.956018844119285,0.63461712116267,0.0173403793136079
"006",50,60,TRUE,0.999428977692622,0.660349699067634,0.0420842340678418
"006",51,60,TRUE,1.05493544927811,0.488885246979685,0.00890817320731252
"006",52,60,TRUE,1.02656268536191,0.683480485901473,0.0266890878483391
"006",53,60,TRUE,1.01586306266449,0.584292809813656,0.0105832322615538
"006",54,60,TRUE,1.03887375705971,0.476489407678746,0.00920340019519204
"006",55,60,TRUE,0.715182144237529,1.0448479474806,0.0556755097864648
"006",56,60,TRUE,0.981724950209503,0.584117858387502,0.00535524457223037
"006",57,90,TRUE,1.24700769151461,0.157677680809642,0.0476425733334484
"006",58,90,TRUE,1.12520004144328,0.163500300091936,0.0214679890434808
"006",59,90,TRUE,1.06249877088407,0.125092486357173,0.0177850078557655
"006",60,90,TRUE,1.12341992916635,0.135764839864001,0.014400324505644
"006",61,90,TRUE,1.18177016342337,0.0945325111061424,0.0311132503361117
"006",62,90,TRUE,0.983802162080959,0.17761810055655,0.0647041470098633
"006",63,90,TRUE,1.14074173548491,0.130248510173016,0.02811914728726
"006",64,90,TRUE,1.12925772592359,0.180247140035111,0.00618505242914406
"007",1,60,FALSE,1.09292944225657,0.98022824618857,0.0711935516465763
"007",2,60,FALSE,1.25442276633862,0.334048474937457,0.0108521183084928
"007",3,60,FALSE,0.757580249447914,1.02599749424702,0.0536913827965376
"007",4,60,FALSE,0.896985945142429,0.758638599167294,0.0590830483228204
"007",5,60,FALSE,1.06210466348461,0.565811977448806,0.0265382324238635
