"Subject","Trial","HiddenColor","Display","Ratio","BeadPosition","Sequence","MajorityBeads","ProbEstimate","FinalChoice","EvidenceAsymmetry","Accuracy"
"006",1,"green",FALSE,60,0,"1,1,1,1,1,1,0,0",6,0.497916666666667,"green",-6,1
"006",1,"green",FALSE,60,1,"1,1,1,1,1,1,0,0",6,0.310416666666667,"green",-6,1
"006",1,"green",FALSE,60,2,"1,1,1,1,1,1,0,0",6,0.295833333333333,"green",-6,1
"006",1,"green",FALSE,60,3,"1,1,1,1,1,1,0,0",6,0.241666666666667,"green",-6,1
"006",1,"green",FALSE,60,4,"1,1,1,1,1,1,0,0",6,0.19375,"green",-6,1
"006",1,"green",FALSE,60,5,"1,1,1,1,1,1,0,0",6,0.166666666666667,"green",-6,1
"006",1,"green",FALSE,60,6,"1,1,1,1,1,1,0,0",6,0.127083333333333,"green",-6,1
"006",1,"green",FALSE,60,7,"1,1,1,1,1,1,0,0",6,0.14375,"green",-6,1
"006",1,"green",FALSE,60,8,"1,1,1,1,1,1,0,0",6,0.2,"green",-6,1
"006",2,"green",FALSE,60,0,"1,1,1,1,0,1,0,0",5,0.502083333333333,"green",-6.5,1
"006",2,"green",FALSE,60,1,"1,1,1,1,0,1,0,0",5,0.454166666666667,"green",-6.5,1
"006",2,"green",FALSE,60,2,"1,1,1,1,0,1,0,0",5,0.391666666666667,"green",-6.5,1
"006",2,"green",FALSE,60,3,"1,1,1,1,0,1,0,0",5,0.327083333333333,"green",-6.5,1
"006",2,"green",FALSE,60,4,"1,1,1,1,0,1,0,0",5,0.277083333333333,"green",-6.5,1
"006",2,"green",FALSE,60,5,"1,1,1,1,0,1,0,0",5,0.302083333333333,"green",-6.5,1
"006",2,"green",FALSE,60,6,"1,1,1,1,0,1,0,0",5,0.239583333333333,"green",-6.5,1
"006",2,"green",FALSE,60,7,"1,1,1,1,0,1,0,0",5,0.302083333333333,"green",-6.5,1
"006",2,"green",FALSE,60,8,"1,1,1,1,0,1,0,0",5,0.341666666666667,"green",-6.5,1
"006",3,"green",FALSE,60,0,"0,0,1,0,1,1,1,1",5,0.49375,"green",6.5,1
"006",3,"green",FALSE,60,1,"0,0,1,0,1,1,1,1",5,0.564583333333333,"green",6.5,1
"006",3,"green",FALSE,60,2,"0,0,1,0,1,1,1,1",5,0.60625,"green",6.5,1
"006",3,"green",FALSE,60,3,"0,0,1,0,1,1,1,1",5,0.583333333333333,"green",6.5,1
"006",3,"green",FALSE,60,4,"0,0,1,0,1,1,1,1",5,0.504166666666667,"green",6.5,1
"006",3,"green",FALSE,60,5,"0,0,1,0,1,1,1,1",5,0.44375,"green",6.5,1
"006",3,"green",FALSE,60,6,"0,0,1,0,1,1,1,1",5,0.504166666666667,"green",6.5,1
"006",3,"green",FALSE,60,7,"0,0,1,0,1,1,1,1",5,0.48125,"green",6.5,1
"006",3,"green",FALSE,60,8,"0,0,1,0,1,1,1,1",5,0.41875,"green",6.5,1
"006",4,"green",FALSE,60,0,"1,1,1,1,1,0,1,1",7,0.504166666666667,"green",-1.5,1
"006",4,"green",FALSE,60,1,"1,1,1,1,1,0,1,1",7,0.4375,"green",-1.5,1
"006",4,"green",FALSE,60,2,"1,1,1,1,1,0,1,1",7,0.391666666666667,"green",-1.5,1
"006",4,"green",FALSE,60,3,"1,1,1,1,1,0,1,1",7,0.345833333333333,"green",-1.5,1
"006",4,"green",FALSE,60,4,"1,1,1,1,1,0,1,1",7,0.272916666666667,"green",-1.5,1
"006",4,"green",FALSE,60,5,"1,1,1,1,1,0,1,1",7,0.24375,"green",-1.5,1
"006",4,"green",FALSE,60,6,"1,1,1,1,1,0,1,1",7,0.302083333333333,"green",-1.5,1
"006",4,"green",FALSE,60,7,"1,1,1,1,1,0,1,1",7,0.25,"green",-1.5,1
"006",4,"green",FALSE,60,8,"1,1,1,1,1,0,1,1",7,0.195833333333333,"green",-1.5,1
"006",5,"green",FALSE,60,0,"0,1,1,1,0,1,1,0",5,0.504166666666667,"green",-0.5,1
"006",5,"green",FALSE,60,1,"0,1,1,1,0,1,1,0",5,0.55625,"green",-0.5,1
"006",5,"green",FALSE,60,2,"0,1,1,1,0,1,1,0",5,0.502083333333333,"green",-0.5,1
"006",5,"green",FALSE,60,3,"0,1,1,1,0,1,1,0",5,0.45,"green",-0.5,1
"006",5,"green",FALSE,60,4,"0,1,1,1,0,1,1,0",5,0.39375,"green",-0.5,1
"006",5,"green",FALSE,60,5,"0,1,1,1,0,1,1,0",5,0.447916666666667,"green",-0.5,1
"006",5,"green",FALSE,60,6,"0,1,1,1,0,1,1,0",5,0.4,"green",-0.5,1
"006",5,"green",FALSE,60,7,"0,1,1,1,0,1,1,0",5,0.291666666666667,"green",-0.5,1
"006",5,"green",FALSE,60,8,"0,1,1,1,0,1,1,0",5,0.341666666666667,"green",-0.5,1
"006",6,"blue",FALSE,60,0,"0,1,1,0,1,1,1,0",5,0.5,"blue",0.5,1
"006",6,"blue",FALSE,60,1,"0,1,1,0,1,1,1,0",5,0.295833333333333,"blue",0.5,1
"006",6,"blue",FALSE,60,2,"0,1,1,0,1,1,1,0",5,0.497916666666667,"blue",0.5,1
"006",6,"blue",FALSE,60,3,"0,1,1,0,1,1,1,0",5,0.558333333333333,"blue",0.5,1
"006",6,"blue",FALSE,60,4,"0,1,1,0,1,1,1,0",5,0.502083333333333,"blue",0.5,1
"006",6,"blue",FALSE,60,5,"0,1,1,0,1,1,1,0",5,0.564583333333333,"blue",0.5,1
"006",6,"blue",FALSE,60,6,"0,1,1,0,1,1,1,0",5,0.60625,"blue",0.5,1
"006",6,"blue",FALSE,60,7,"0,1,1,0,1,1,1,0",5,0.66875,"blue",0.5,1
"006",6,"blue",FALSE,60,8,"0,1,1,0,1,1,1,0",5,0.608333333333333,"blue",0.5,1
"006",7,"green",FALSE,60,0,"1,1,1,1,1,0,0,0",5,0.5,"green",-7.5,1
"006",7,"green",FALSE,60,1,"1,1,1,1,1,0,0,0",5,0.45625,"green",-7.5,1
"006",7,"green",FALSE,60,2,"1,1,1,1,1,0,0,0",5,0.414583333333333,"green",-7.5,1
"006",7,"green",FALSE,60,3,"1,1,1,1,1,0,0,0",5,0.31875,"green",-7.5,1
"006",7,"green",FALSE,60,4,"1,1,1,1,1,0,0,0",5,0.227083333333333,"green",-7.5,1
"006",7,"green",FALSE,60,5,"1,1,1,1,1,0,0,0",5,0.1375,"green",-7.5,1
"006",7,"green",FALSE,60,6,"1,1,1,1,1,0,0,0",5,0.197916666666667,"green",-7.5,1
"006",7,"green",FALSE,60,7,"1,1,1,1,1,0,0,0",5,0.23125,"green",-7.5,1
"006",7,"green",FALSE,60,8,"1,1,1,1,1,0,0,0",5,0.327083333333333,"green",-7.5,1
"006",8,"green",FALSE,60,0,"1,1,1,1,1,1,1,0",7,0.5,"green",-3.5,1
"006",8,"green",FALSE,60,1,"1,1,1,1,1,1,1,0",7,0.414583333333333,"green",-3.5,1
"006",8,"green",FALSE,60,2,"1,1,1,1,1,1,1,0",7,0.34375,"green",-3.5,1
