Subject,Trial,HiddenColor,Display,Ratio,BeadPosition,Sequence,MajorityBeads,ProbEstimate,FinalChoice,EvidenceAsymmetry,Accuracy
013,1,green,False,60,0,"1,1,1,1,1,0,0,0",5,0.5037037037037037,green,-7.5,1
013,1,green,False,60,1,"1,1,1,1,1,0,0,0",5,0.4,green,-7.5,1
013,1,green,False,60,2,"1,1,1,1,1,0,0,0",5,0.3462962962962963,green,-7.5,1
013,1,green,False,60,3,"1,1,1,1,1,0,0,0",5,0.3222222222222222,green,-7.5,1
013,1,green,False,60,4,"1,1,1,1,1,0,0,0",5,0.3055555555555556,green,-7.5,1
013,1,green,False,60,5,"1,1,1,1,1,0,0,0",5,0.27037037037037037,green,-7.5,1
013,1,green,False,60,6,"1,1,1,1,1,0,0,0",5,0.2685185185185185,green,-7.5,1
013,1,green,False,60,7,"1,1,1,1,1,0,0,0",5,0.28888888888888886,green,-7.5,1
013,1,green,False,60,8,"1,1,1,1,1,0,0,0",5,0.2962962962962963,green,-7.5,1
013,2,blue,False,60,0,"1,1,1,1,0,1,0,0",5,0.4981481481481482,blue,-6.5,1
013,2,blue,False,60,1,"1,1,1,1,0,1,0,0",5,0.6018518518518519,blue,-6.5,1
013,2,blue,False,60,2,"1,1,1,1,0,1,0,0",5,0.6444444444444444,blue,-6.5,1
013,2,blue,False,60,3,"1,1,1,1,0,1,0,0",5,0.6851851851851851,blue,-6.5,1
013,2,blue,False,60,4,"1,1,1,1,0,1,0,0",5,0.7333333333333333,blue,-6.5,1
013,2,blue,False,60,5,"1,1,1,1,0,1,0,0",5,0.7333333333333333,blue,-6.5,1
013,2,blue,False,60,6,"1,1,1,1,0,1,0,0",5,0.75,blue,-6.5,1
013,2,blue,False,60,7,"1,1,1,1,0,1,0,0",5,0.75,blue,-6.5,1
013,2,blue,False,60,8,"1,1,1,1,0,1,0,0",5,0.9296296296296297,blue,-6.5,1
013,3,blue,False,60,0,"1,1,0,1,1,1,0,0",5,0.5037037037037037,blue,-4.5,1
013,3,blue,False,60,1,"1,1,0,1,1,1,0,0",5,0.5944444444444444,blue,-4.5,1
013,3,blue,False,60,2,"1,1,0,1,1,1,0,0",5,0.6666666666666666,blue,-4.5,1
013,3,blue,False,60,3,"1,1,0,1,1,1,0,0",5,0.7703703703703704,blue,-4.5,1
013,3,blue,False,60,4,"1,1,0,1,1,1,0,0",5,0.8092592592592592,blue,-4.5,1
013,3,blue,False,60,5,"1,1,0,1,1,1,0,0",5,0.8555555555555556,blue,-4.5,1
013,3,blue,False,60,6,"1,1,0,1,1,1,0,0",5,0.9092592592592592,blue,-4.5,1
013,3,blue,False,60,7,"1,1,0,1,1,1,0,0",5,0.9500000000000001,blue,-4.5,1
013,3,blue,False,60,8,"1,1,0,1,1,1,0,0",5,0.9740740740740741,blue,-4.5,1
013,4,green,False,60,0,"0,0,1,1,1,1,1,1",6,0.5055555555555555,green,6.0,1
013,4,green,False,60,1,"0,0,1,1,1,1,1,1",6,0.5574074074074074,green,6.0,1
013,4,green,False,60,2,"0,0,1,1,1,1,1,1",6,0.5851851851851851,green,6.0,1
013,4,green,False,60,3,"0,0,1,1,1,1,1,1",6,0.6129629629629629,green,6.0,1
013,4,green,False,60,4,"0,0,1,1,1,1,1,1",6,0.5722222222222222,green,6.0,1
013,4,green,False,60,5,"0,0,1,1,1,1,1,1",6,0.34814814814814815,green,6.0,1
013,4,green,False,60,6,"0,0,1,1,1,1,1,1",6,0.2666666666666667,green,6.0,1
013,4,green,False,60,7,"0,0,1,1,1,1,1,1",6,0.19814814814814813,green,6.0,1
013,4,green,False,60,8,"0,0,1,1,1,1,1,1",6,0.15185185185185185,green,6.0,1
013,5,green,False,60,0,"0,0,1,1,1,0,1,1",5,0.5018518518518519,green,4.5,1
013,5,green,False,60,1,"0,0,1,1,1,0,1,1",5,0.562962962962963,green,4.5,1
013,5,green,False,60,2,"0,0,1,1,1,0,1,1",5,0.562962962962963,green,4.5,1
013,5,green,False,60,3,"0,0,1,1,1,0,1,1",5,0.7,green,4.5,1
013,5,green,False,60,4,"0,0,1,1,1,0,1,1",5,0.6481481481481481,green,4.5,1
013,5,green,False,60,5,"0,0,1,1,1,0,1,1",5,0.2740740740740741,green,4.5,1
013,5,green,False,60,6,"0,0,1,1,1,0,1,1",5,0.5055555555555555,green,4.5,1
013,5,green,False,60,7,"0,0,1,1,1,0,1,1",5,0.3574074074074074,green,4.5,1
013,5,green,False,60,8,"0,0,1,1,1,0,1,1",5,0.1333333333333333,green,4.5,1
013,6,blue,False,60,0,"1,1,1,1,1,1,1,1",8,0.5018518518518519,blue,0.0,1
013,6,blue,False,60,1,"1,1,1,1,1,1,1,1",8,0.5777777777777777,blue,0.0,1
013,6,blue,False,60,2,"1,1,1,1,1,1,1,1",8,0.6370370370370371,blue,0.0,1
013,6,blue,False,60,3,"1,1,1,1,1,1,1,1",8,0.7425925925925926,blue,0.0,1
013,6,blue,False,60,4,"1,1,1,1,1,1,1,1",8,0.7851851851851852,blue,0.0,1
013,6,blue,False,60,5,"1,1,1,1,1,1,1,1",8,0.7851851851851852,blue,0.0,1
013,6,blue,False,60,6,"1,1,1,1,1,1,1,1",8,0.8148148148148149,blue,0.0,1
013,6,blue,False,60,7,"1,1,1,1,1,1,1,1",8,0.8037037037037037,blue,0.0,1
013,6,blue,False,60,8,"1,1,1,1,1,1,1,1",8,0.8037037037037037,blue,0.0,1
013,7,green,False,60,0,"0,1,1,1,1,1,1,1",7,0.5018518518518519,green,3.5,1
013,7,green,False,60,1,"0,1,1,1,1,1,1,1",7,0.5537037037037037,green,3.5,1
013,7,green,False,60,2,"0,1,1,1,1,1,1,1",7,0.4981481481481482,green,3.5,1
013,7,green,False,60,3,"0,1,1,1,1,1,1,1",7,0.34814814814814815,green,3.5,1
013,7,green,False,60,4,"0,1,1,1,1,1,1,1",7,0.2833333333333333,green,3.5,1
013,7,green,False,60,5,"0,1,1,1,1,1,1,1",7,0.20370370370370372,green,3.5,1
013,7,green,False,60,6,"0,1,1,1,1,1,1,1",7,0.1166666666666667,green,3.5,1
013,7,green,False,60,7,"0,1,1,1,1,1,1,1",7,0.10185185185185186,green,3.5,1
013,7,green,False,60,8,"0,1,1,1,1,1,1,1",7,0.07222222222222219,green,3.5,1
013,8,green,False,60,0,"1,1,1,1,1,1,1,0",7,0.5037037037037037,green,-3.5,1
013,8,green,False,60,1,"1,1,1,1,1,1,1,0",7,0.4351851851851852,green,-3.5,1
013,8,green,False,60,2,"1,1,1,1,1,1,1,0",7,0.40370370370370373,green,-3.5,1
013,8,green,False,60,3,"1,1,1,1,1,1,1,0",7,0.3851851851851852,green,-3.5,1
013,8,green,False,60,4,"1,1,1,1,1,1,1,0",7,0.24814814814814817,green,-3.5,1
013,8,green,False,60,5,"1,1,1,1,1,1,1,0",7,0.21111111111111114,green,-3.5,1
013,8,green,False,60,6,"1,1,1,1,1,1,1,0",7,0.21111111111111114,green,-3.5,1
013,8,green,False,60,7,"1,1,1,1,1,1,1,0",7,0.15925925925925927,green,-3.5,1
013,8,green,False,60,8,"1,1,1,1,1,1,1,0",7,0.13148148148148148,green,-3.5,1
013,9,blue,False,90,0,"0,1,1,1,1,1,1,1",7,0.5074074074074074,blue,3.5,1
013,9,blue,False,90,1,"0,1,1,1,1,1,1,1",7,0.3018518518518518,blue,3.5,1
013,9,blue,False,90,2,"0,1,1,1,1,1,1,1",7,0.5037037037037037,blue,3.5,1
013,9,blue,False,90,3,"0,1,1,1,1,1,1,1",7,0.6833333333333333,blue,3.5,1
013,9,blue,False,90,4,"0,1,1,1,1,1,1,1",7,0.7833333333333333,blue,3.5,1
013,9,blue,False,90,5,"0,1,1,1,1,1,1,1",7,0.8407407407407408,blue,3.5,1
013,9,blue,False,90,6,"0,1,1,1,1,1,1,1",7,0.8833333333333333,blue,3.5,1
013,9,blue,False,90,7,"0,1,1,1,1,1,1,1",7,0.9203703703703704,blue,3.5,1
013,9,blue,False,90,8,"0,1,1,1,1,1,1,1",7,0.9481481481481482,blue,3.5,1
013,10,blue,False,90,0,"1,1,1,1,1,1,1,1",8,0.5018518518518519,blue,0.0,1
013,10,blue,False,90,1,"1,1,1,1,1,1,1,1",8,0.6296296296296297,blue,0.0,1
013,10,blue,False,90,2,"1,1,1,1,1,1,1,1",8,0.7148148148148148,blue,0.0,1
013,10,blue,False,90,3,"1,1,1,1,1,1,1,1",8,0.7740740740740741,blue,0.0,1
013,10,blue,False,90,4,"1,1,1,1,1,1,1,1",8,0.8185185185185185,blue,0.0,1
013,10,blue,False,90,5,"1,1,1,1,1,1,1,1",8,0.8592592592592593,blue,0.0,1
013,10,blue,False,90,6,"1,1,1,1,1,1,1,1",8,0.9185185185185185,blue,0.0,1
013,10,blue,False,90,7,"1,1,1,1,1,1,1,1",8,0.9648148148148148,blue,0.0,1
013,10,blue,False,90,8,"1,1,1,1,1,1,1,1",8,0.9907407407407407,blue,0.0,1
013,11,blue,False,90,0,"1,1,1,1,1,0,0,0",5,0.5037037037037037,blue,-7.5,1
013,11,blue,False,90,1,"1,1,1,1,1,0,0,0",5,0.5907407407407408,blue,-7.5,1
013,11,blue,False,90,2,"1,1,1,1,1,0,0,0",5,0.6425925925925926,blue,-7.5,1
013,11,blue,False,90,3,"1,1,1,1,1,0,0,0",5,0.7037037037037037,blue,-7.5,1
013,11,blue,False,90,4,"1,1,1,1,1,0,0,0",5,0.7907407407407407,blue,-7.5,1
013,11,blue,False,90,5,"1,1,1,1,1,0,0,0",5,0.8462962962962963,blue,-7.5,1
013,11,blue,False,90,6,"1,1,1,1,1,0,0,0",5,0.8851851851851851,blue,-7.5,1
013,11,blue,False,90,7,"1,1,1,1,1,0,0,0",5,0.8574074074074074,blue,-7.5,1
013,11,blue,False,90,8,"1,1,1,1,1,0,0,0",5,0.7296296296296296,blue,-7.5,1
013,12,blue,False,90,0,"0,0,0,1,1,1,1,1",5,0.5055555555555555,blue,7.5,1
013,12,blue,False,90,1,"0,0,0,1,1,1,1,1",5,0.33333333333333337,blue,7.5,1
013,12,blue,False,90,2,"0,0,0,1,1,1,1,1",5,0.24259259259259258,blue,7.5,1
013,12,blue,False,90,3,"0,0,0,1,1,1,1,1",5,0.17592592592592593,blue,7.5,1
013,12,blue,False,90,4,"0,0,0,1,1,1,1,1",5,0.22962962962962963,blue,7.5,1
013,12,blue,False,90,5,"0,0,0,1,1,1,1,1",5,0.34259259259259256,blue,7.5,1
