Subject,Trial,HiddenColor,Display,Ratio,BeadPosition,Sequence,MajorityBeads,ProbEstimate,FinalChoice,EvidenceAsymmetry,Accuracy
016,1,green,True,60,0,"1,1,1,1,1,0,0,0",5,0.5013888888888889,green,-7.5,1
016,1,green,True,60,1,"1,1,1,1,1,0,0,0",5,0.4027777777777778,green,-7.5,1
016,1,green,True,60,2,"1,1,1,1,1,0,0,0",5,0.2861111111111111,green,-7.5,1
016,1,green,True,60,3,"1,1,1,1,1,0,0,0",5,0.24444444444444446,green,-7.5,1
016,1,green,True,60,4,"1,1,1,1,1,0,0,0",5,0.17083333333333334,green,-7.5,1
016,1,green,True,60,5,"1,1,1,1,1,0,0,0",5,0.11805555555555558,green,-7.5,1
016,1,green,True,60,6,"1,1,1,1,1,0,0,0",5,0.30138888888888893,green,-7.5,1
016,1,green,True,60,7,"1,1,1,1,1,0,0,0",5,0.3819444444444444,green,-7.5,1
016,1,green,True,60,8,"1,1,1,1,1,0,0,0",5,0.4375,green,-7.5,1
016,2,blue,True,60,0,"0,1,1,1,1,1,1,1",7,0.5013888888888889,blue,3.5,1
016,2,blue,True,60,1,"0,1,1,1,1,1,1,1",7,0.3958333333333333,blue,3.5,1
016,2,blue,True,60,2,"0,1,1,1,1,1,1,1",7,0.4930555555555556,blue,3.5,1
016,2,blue,True,60,3,"0,1,1,1,1,1,1,1",7,0.5958333333333333,blue,3.5,1
016,2,blue,True,60,4,"0,1,1,1,1,1,1,1",7,0.6847222222222222,blue,3.5,1
016,2,blue,True,60,5,"0,1,1,1,1,1,1,1",7,0.7541666666666667,blue,3.5,1
016,2,blue,True,60,6,"0,1,1,1,1,1,1,1",7,0.8138888888888889,blue,3.5,1
016,2,blue,True,60,7,"0,1,1,1,1,1,1,1",7,0.8847222222222222,blue,3.5,1
016,2,blue,True,60,8,"0,1,1,1,1,1,1,1",7,0.9277777777777778,blue,3.5,1
016,3,green,True,60,0,"0,1,1,0,1,1,1,0",5,0.5013888888888889,green,0.5,1
016,3,green,True,60,1,"0,1,1,0,1,1,1,0",5,0.6083333333333334,green,0.5,1
016,3,green,True,60,2,"0,1,1,0,1,1,1,0",5,0.4986111111111111,green,0.5,1
016,3,green,True,60,3,"0,1,1,0,1,1,1,0",5,0.39722222222222225,green,0.5,1
016,3,green,True,60,4,"0,1,1,0,1,1,1,0",5,0.5013888888888889,green,0.5,1
016,3,green,True,60,5,"0,1,1,0,1,1,1,0",5,0.375,green,0.5,1
016,3,green,True,60,6,"0,1,1,0,1,1,1,0",5,0.3027777777777778,green,0.5,1
016,3,green,True,60,7,"0,1,1,0,1,1,1,0",5,0.23194444444444445,green,0.5,1
016,3,green,True,60,8,"0,1,1,0,1,1,1,0",5,0.3472222222222222,green,0.5,1
016,4,blue,True,60,0,"1,1,1,1,1,1,1,0",7,0.4986111111111111,blue,-3.5,1
016,4,blue,True,60,1,"1,1,1,1,1,1,1,0",7,0.6416666666666666,blue,-3.5,1
016,4,blue,True,60,2,"1,1,1,1,1,1,1,0",7,0.7027777777777777,blue,-3.5,1
016,4,blue,True,60,3,"1,1,1,1,1,1,1,0",7,0.7638888888888888,blue,-3.5,1
016,4,blue,True,60,4,"1,1,1,1,1,1,1,0",7,0.8388888888888889,blue,-3.5,1
016,4,blue,True,60,5,"1,1,1,1,1,1,1,0",7,0.9027777777777778,blue,-3.5,1
016,4,blue,True,60,6,"1,1,1,1,1,1,1,0",7,0.9555555555555555,blue,-3.5,1
016,4,blue,True,60,7,"1,1,1,1,1,1,1,0",7,0.9833333333333334,blue,-3.5,1
016,4,blue,True,60,8,"1,1,1,1,1,1,1,0",7,0.9041666666666667,blue,-3.5,1
016,5,green,True,60,0,"0,1,1,1,0,1,1,0",5,0.5013888888888889,green,-0.5,1
