Subject,Trial,HiddenColor,Display,Ratio,BeadPosition,Sequence,MajorityBeads,ProbEstimate,FinalChoice,EvidenceAsymmetry,Accuracy
028,1,blue,True,60,0,"1,1,1,1,1,0,0,0",5,0.5,blue,-7.5,1
028,1,blue,True,60,1,"1,1,1,1,1,0,0,0",5,0.5625,blue,-7.5,1
028,1,blue,True,60,2,"1,1,1,1,1,0,0,0",5,0.6305555555555555,blue,-7.5,1
028,1,blue,True,60,3,"1,1,1,1,1,0,0,0",5,0.7347222222222223,blue,-7.5,1
028,1,blue,True,60,4,"1,1,1,1,1,0,0,0",5,0.8541666666666667,blue,-7.5,1
028,1,blue,True,60,5,"1,1,1,1,1,0,0,0",5,0.8513888888888889,blue,-7.5,1
028,1,blue,True,60,6,"1,1,1,1,1,0,0,0",5,0.8333333333333333,blue,-7.5,1
028,1,blue,True,60,7,"1,1,1,1,1,0,0,0",5,0.7958333333333334,blue,-7.5,1
028,1,blue,True,60,8,"1,1,1,1,1,0,0,0",5,0.7527777777777778,blue,-7.5,1
028,2,blue,True,60,0,"0,0,1,1,1,1,1,1",6,0.5041666666666667,blue,6.0,1
028,2,blue,True,60,1,"0,0,1,1,1,1,1,1",6,0.4652777777777778,blue,6.0,1
028,2,blue,True,60,2,"0,0,1,1,1,1,1,1",6,0.45694444444444443,blue,6.0,1
028,2,blue,True,60,3,"0,0,1,1,1,1,1,1",6,0.45694444444444443,blue,6.0,1
028,2,blue,True,60,4,"0,0,1,1,1,1,1,1",6,0.4986111111111111,blue,6.0,1
028,2,blue,True,60,5,"0,0,1,1,1,1,1,1",6,0.5222222222222223,blue,6.0,1
028,2,blue,True,60,6,"0,0,1,1,1,1,1,1",6,0.5361111111111111,blue,6.0,1
028,2,blue,True,60,7,"0,0,1,1,1,1,1,1",6,0.6597222222222222,blue,6.0,1
028,2,blue,True,60,8,"0,0,1,1,1,1,1,1",6,0.7972222222222223,blue,6.0,1
028,3,blue,True,60,0,"1,1,1,1,0,1,0,0",5,0.5013888888888889,blue,-6.5,1
028,3,blue,True,60,1,"1,1,1,1,0,1,0,0",5,0.5444444444444444,blue,-6.5,1
028,3,blue,True,60,2,"1,1,1,1,0,1,0,0",5,0.5875,blue,-6.5,1
028,3,blue,True,60,3,"1,1,1,1,0,1,0,0",5,0.6375,blue,-6.5,1
028,3,blue,True,60,4,"1,1,1,1,0,1,0,0",5,0.6652777777777777,blue,-6.5,1
028,3,blue,True,60,5,"1,1,1,1,0,1,0,0",5,0.6583333333333333,blue,-6.5,1
028,3,blue,True,60,6,"1,1,1,1,0,1,0,0",5,0.6708333333333333,blue,-6.5,1
028,3,blue,True,60,7,"1,1,1,1,0,1,0,0",5,0.6097222222222223,blue,-6.5,1
028,3,blue,True,60,8,"1,1,1,1,0,1,0,0",5,0.5930555555555556,blue,-6.5,1
028,4,blue,True,60,0,"1,1,1,1,1,0,1,1",7,0.49722222222222223,blue,-1.5,1
028,4,blue,True,60,1,"1,1,1,1,1,0,1,1",7,0.5513888888888889,blue,-1.5,1
028,4,blue,True,60,2,"1,1,1,1,1,0,1,1",7,0.5638888888888889,blue,-1.5,1
028,4,blue,True,60,3,"1,1,1,1,1,0,1,1",7,0.5916666666666667,blue,-1.5,1
028,4,blue,True,60,4,"1,1,1,1,1,0,1,1",7,0.6708333333333333,blue,-1.5,1
028,4,blue,True,60,5,"1,1,1,1,1,0,1,1",7,0.6972222222222222,blue,-1.5,1
028,4,blue,True,60,6,"1,1,1,1,1,0,1,1",7,0.4263888888888889,blue,-1.5,1
028,4,blue,True,60,7,"1,1,1,1,1,0,1,1",7,0.7736111111111111,blue,-1.5,1
028,4,blue,True,60,8,"1,1,1,1,1,0,1,1",7,0.7944444444444445,blue,-1.5,1
028,5,blue,True,60,0,"0,1,1,1,0,1,1,0",5,0.5,blue,-0.5,1
028,5,blue,True,60,1,"0,1,1,1,0,1,1,0",5,0.33194444444444443,blue,-0.5,1
028,5,blue,True,60,2,"0,1,1,1,0,1,1,0",5,0.49722222222222223,blue,-0.5,1
028,5,blue,True,60,3,"0,1,1,1,0,1,1,0",5,0.5305555555555556,blue,-0.5,1
028,5,blue,True,60,4,"0,1,1,1,0,1,1,0",5,0.5763888888888888,blue,-0.5,1
028,5,blue,True,60,5,"0,1,1,1,0,1,1,0",5,0.5736111111111111,blue,-0.5,1
028,5,blue,True,60,6,"0,1,1,1,0,1,1,0",5,0.6236111111111111,blue,-0.5,1
028,5,blue,True,60,7,"0,1,1,1,0,1,1,0",5,0.6611111111111111,blue,-0.5,1
028,5,blue,True,60,8,"0,1,1,1,0,1,1,0",5,0.6861111111111111,blue,-0.5,1
028,6,blue,True,60,0,"1,1,0,1,1,1,0,0",5,0.5027777777777778,blue,-4.5,1
028,6,blue,True,60,1,"1,1,0,1,1,1,0,0",5,0.5361111111111111,blue,-4.5,1
028,6,blue,True,60,2,"1,1,0,1,1,1,0,0",5,0.5708333333333333,blue,-4.5,1
028,6,blue,True,60,3,"1,1,0,1,1,1,0,0",5,0.5458333333333333,blue,-4.5,1
028,6,blue,True,60,4,"1,1,0,1,1,1,0,0",5,0.5958333333333333,blue,-4.5,1
028,6,blue,True,60,5,"1,1,0,1,1,1,0,0",5,0.65,blue,-4.5,1
028,6,blue,True,60,6,"1,1,0,1,1,1,0,0",5,0.7013888888888888,blue,-4.5,1
028,6,blue,True,60,7,"1,1,0,1,1,1,0,0",5,0.6972222222222222,blue,-4.5,1
028,6,blue,True,60,8,"1,1,0,1,1,1,0,0",5,0.6847222222222222,blue,-4.5,1
028,7,green,True,60,0,"1,0,1,1,1,1,0,1",6,0.5013888888888889,green,0.0,1
028,7,green,True,60,1,"1,0,1,1,1,1,0,1",6,0.4597222222222222,green,0.0,1
028,7,green,True,60,2,"1,0,1,1,1,1,0,1",6,0.5013888888888889,green,0.0,1
028,7,green,True,60,3,"1,0,1,1,1,1,0,1",6,0.4458333333333333,green,0.0,1
028,7,green,True,60,4,"1,0,1,1,1,1,0,1",6,0.4166666666666667,green,0.0,1
028,7,green,True,60,5,"1,0,1,1,1,1,0,1",6,0.375,green,0.0,1
028,7,green,True,60,6,"1,0,1,1,1,1,0,1",6,0.32638888888888884,green,0.0,1
028,7,green,True,60,7,"1,0,1,1,1,1,0,1",6,0.3111111111111111,green,0.0,1
028,7,green,True,60,8,"1,0,1,1,1,1,0,1",6,0.2583333333333333,green,0.0,1
028,8,blue,True,60,0,"0,0,1,1,1,0,1,1",5,0.5,blue,4.5,1
028,8,blue,True,60,1,"0,0,1,1,1,0,1,1",5,0.41805555555555557,blue,4.5,1
028,8,blue,True,60,2,"0,0,1,1,1,0,1,1",5,0.4041666666666667,blue,4.5,1
028,8,blue,True,60,3,"0,0,1,1,1,0,1,1",5,0.4458333333333333,blue,4.5,1
028,8,blue,True,60,4,"0,0,1,1,1,0,1,1",5,0.48194444444444445,blue,4.5,1
028,8,blue,True,60,5,"0,0,1,1,1,0,1,1",5,0.5097222222222222,blue,4.5,1
028,8,blue,True,60,6,"0,0,1,1,1,0,1,1",5,0.5041666666666667,blue,4.5,1
028,8,blue,True,60,7,"0,0,1,1,1,0,1,1",5,0.5430555555555555,blue,4.5,1
028,8,blue,True,60,8,"0,0,1,1,1,0,1,1",5,0.5986111111111111,blue,4.5,1
028,9,green,True,90,0,"1,1,1,1,1,1,1,1",8,0.4986111111111111,green,0.0,1
028,9,green,True,90,1,"1,1,1,1,1,1,1,1",8,0.46944444444444444,green,0.0,1
028,9,green,True,90,2,"1,1,1,1,1,1,1,1",8,0.4166666666666667,green,0.0,1
028,9,green,True,90,3,"1,1,1,1,1,1,1,1",8,0.16944444444444445,green,0.0,1
028,9,green,True,90,4,"1,1,1,1,1,1,1,1",8,0.08750000000000002,green,0.0,1
028,9,green,True,90,5,"1,1,1,1,1,1,1,1",8,0.030555555555555558,green,0.0,1
028,9,green,True,90,6,"1,1,1,1,1,1,1,1",8,0.026388888888888906,green,0.0,1
028,9,green,True,90,7,"1,1,1,1,1,1,1,1",8,0.026388888888888906,green,0.0,1
028,9,green,True,90,8,"1,1,1,1,1,1,1,1",8,0.011111111111111127,green,0.0,1
028,10,green,True,90,0,"0,0,0,1,1,1,1,1",5,0.4986111111111111,green,7.5,1
028,10,green,True,90,1,"0,0,0,1,1,1,1,1",5,0.5652777777777778,green,7.5,1
028,10,green,True,90,2,"0,0,0,1,1,1,1,1",5,0.6486111111111111,green,7.5,1
028,10,green,True,90,3,"0,0,0,1,1,1,1,1",5,0.7347222222222223,green,7.5,1
