Subject,Trial,HiddenColor,Display,Ratio,BeadPosition,Sequence,MajorityBeads,ProbEstimate,FinalChoice,EvidenceAsymmetry,Accuracy
012,1,green,True,60,0,"0,1,1,1,0,1,1,0",5,0.5013888888888889,green,-0.5,1
012,1,green,True,60,1,"0,1,1,1,0,1,1,0",5,0.5277777777777778,green,-0.5,1
012,1,green,True,60,2,"0,1,1,1,0,1,1,0",5,0.5013888888888889,green,-0.5,1
012,1,green,True,60,3,"0,1,1,1,0,1,1,0",5,0.44722222222222224,green,-0.5,1
012,1,green,True,60,4,"0,1,1,1,0,1,1,0",5,0.39861111111111114,green,-0.5,1
012,1,green,True,60,5,"0,1,1,1,0,1,1,0",5,0.39444444444444443,green,-0.5,1
012,1,green,True,60,6,"0,1,1,1,0,1,1,0",5,0.29166666666666663,green,-0.5,1
012,1,green,True,60,7,"0,1,1,1,0,1,1,0",5,0.18888888888888888,green,-0.5,1
012,1,green,True,60,8,"0,1,1,1,0,1,1,0",5,0.20833333333333331,green,-0.5,1
012,2,green,True,60,0,"1,1,0,1,1,1,1,1",7,0.5,green,1.5,1
012,2,green,True,60,1,"1,1,0,1,1,1,1,1",7,0.44305555555555554,green,1.5,1
012,2,green,True,60,2,"1,1,0,1,1,1,1,1",7,0.4166666666666667,green,1.5,1
012,2,green,True,60,3,"1,1,0,1,1,1,1,1",7,0.4375,green,1.5,1
012,2,green,True,60,4,"1,1,0,1,1,1,1,1",7,0.34444444444444444,green,1.5,1
012,2,green,True,60,5,"1,1,0,1,1,1,1,1",7,0.24444444444444446,green,1.5,1
012,2,green,True,60,6,"1,1,0,1,1,1,1,1",7,0.21944444444444444,green,1.5,1
012,2,green,True,60,7,"1,1,0,1,1,1,1,1",7,0.13472222222222224,green,1.5,1
012,2,green,True,60,8,"1,1,0,1,1,1,1,1",7,0.06388888888888888,green,1.5,1
012,3,green,True,60,0,"0,1,1,0,1,1,1,0",5,0.4986111111111111,green,0.5,1
012,3,green,True,60,1,"0,1,1,0,1,1,1,0",5,0.5388888888888889,green,0.5,1
012,3,green,True,60,2,"0,1,1,0,1,1,1,0",5,0.5055555555555555,green,0.5,1
012,3,green,True,60,3,"0,1,1,0,1,1,1,0",5,0.4388888888888889,green,0.5,1
012,3,green,True,60,4,"0,1,1,0,1,1,1,0",5,0.4986111111111111,green,0.5,1
012,3,green,True,60,5,"0,1,1,0,1,1,1,0",5,0.4291666666666667,green,0.5,1
012,3,green,True,60,6,"0,1,1,0,1,1,1,0",5,0.38055555555555554,green,0.5,1
012,3,green,True,60,7,"0,1,1,0,1,1,1,0",5,0.31666666666666665,green,0.5,1
012,3,green,True,60,8,"0,1,1,0,1,1,1,0",5,0.39444444444444443,green,0.5,1
012,4,green,True,60,0,"1,1,0,1,1,1,0,0",5,0.5013888888888889,green,-4.5,1
012,4,green,True,60,1,"1,1,0,1,1,1,0,0",5,0.4513888888888889,green,-4.5,1
012,4,green,True,60,2,"1,1,0,1,1,1,0,0",5,0.43333333333333335,green,-4.5,1
012,4,green,True,60,3,"1,1,0,1,1,1,0,0",5,0.47638888888888886,green,-4.5,1
012,4,green,True,60,4,"1,1,0,1,1,1,0,0",5,0.35555555555555557,green,-4.5,1
012,4,green,True,60,5,"1,1,0,1,1,1,0,0",5,0.31527777777777777,green,-4.5,1
012,4,green,True,60,6,"1,1,0,1,1,1,0,0",5,0.25555555555555554,green,-4.5,1
012,4,green,True,60,7,"1,1,0,1,1,1,0,0",5,0.2972222222222222,green,-4.5,1
012,4,green,True,60,8,"1,1,0,1,1,1,0,0",5,0.3625,green,-4.5,1
012,5,blue,True,60,0,"1,1,1,1,1,1,1,0",7,0.4986111111111111,blue,-3.5,1
012,5,blue,True,60,1,"1,1,1,1,1,1,1,0",7,0.5430555555555555,blue,-3.5,1
012,5,blue,True,60,2,"1,1,1,1,1,1,1,0",7,0.6,blue,-3.5,1
012,5,blue,True,60,3,"1,1,1,1,1,1,1,0",7,0.6305555555555555,blue,-3.5,1
012,5,blue,True,60,4,"1,1,1,1,1,1,1,0",7,0.7513888888888889,blue,-3.5,1
012,5,blue,True,60,5,"1,1,1,1,1,1,1,0",7,0.8527777777777779,blue,-3.5,1
012,5,blue,True,60,6,"1,1,1,1,1,1,1,0",7,0.9416666666666667,blue,-3.5,1
012,5,blue,True,60,7,"1,1,1,1,1,1,1,0",7,0.9472222222222222,blue,-3.5,1
012,5,blue,True,60,8,"1,1,1,1,1,1,1,0",7,0.9055555555555556,blue,-3.5,1
012,6,blue,True,60,0,"1,1,1,1,1,1,0,0",6,0.5027777777777778,blue,-6.0,1
012,6,blue,True,60,1,"1,1,1,1,1,1,0,0",6,0.5388888888888889,blue,-6.0,1
012,6,blue,True,60,2,"1,1,1,1,1,1,0,0",6,0.5972222222222222,blue,-6.0,1
012,6,blue,True,60,3,"1,1,1,1,1,1,0,0",6,0.6513888888888889,blue,-6.0,1
012,6,blue,True,60,4,"1,1,1,1,1,1,0,0",6,0.6916666666666667,blue,-6.0,1
012,6,blue,True,60,5,"1,1,1,1,1,1,0,0",6,0.7236111111111111,blue,-6.0,1
012,6,blue,True,60,6,"1,1,1,1,1,1,0,0",6,0.7736111111111111,blue,-6.0,1
012,6,blue,True,60,7,"1,1,1,1,1,1,0,0",6,0.7263888888888889,blue,-6.0,1
012,6,blue,True,60,8,"1,1,1,1,1,1,0,0",6,0.7861111111111111,blue,-6.0,1
012,7,blue,True,60,0,"1,0,1,1,1,1,0,1",6,0.5013888888888889,blue,0.0,1
012,7,blue,True,60,1,"1,0,1,1,1,1,0,1",6,0.5722222222222222,blue,0.0,1
012,7,blue,True,60,2,"1,0,1,1,1,1,0,1",6,0.5138888888888888,blue,0.0,1
012,7,blue,True,60,3,"1,0,1,1,1,1,0,1",6,0.5930555555555556,blue,0.0,1
