Subject,Trial,HiddenColor,Display,Ratio,BeadPosition,Sequence,MajorityBeads,ProbEstimate,FinalChoice,EvidenceAsymmetry,Accuracy
023,1,blue,False,60,0,"1,1,0,1,1,1,1,1",7,0.5027777777777778,blue,1.5,1
023,1,blue,False,60,1,"1,1,0,1,1,1,1,1",7,0.6,blue,1.5,1
023,1,blue,False,60,2,"1,1,0,1,1,1,1,1",7,0.7138888888888889,blue,1.5,1
023,1,blue,False,60,3,"1,1,0,1,1,1,1,1",7,0.7333333333333334,blue,1.5,1
023,1,blue,False,60,4,"1,1,0,1,1,1,1,1",7,0.8125,blue,1.5,1
023,1,blue,False,60,5,"1,1,0,1,1,1,1,1",7,0.9263888888888889,blue,1.5,1
023,1,blue,False,60,6,"1,1,0,1,1,1,1,1",7,0.9805555555555556,blue,1.5,1
023,1,blue,False,60,7,"1,1,0,1,1,1,1,1",7,1.0,blue,1.5,1
023,1,blue,False,60,8,"1,1,0,1,1,1,1,1",7,1.0,blue,1.5,1
023,2,green,False,60,0,"1,1,1,1,1,0,0,0",5,0.49583333333333335,green,-7.5,1
023,2,green,False,60,1,"1,1,1,1,1,0,0,0",5,0.4166666666666667,green,-7.5,1
023,2,green,False,60,2,"1,1,1,1,1,0,0,0",5,0.36944444444444446,green,-7.5,1
023,2,green,False,60,3,"1,1,1,1,1,0,0,0",5,0.17638888888888887,green,-7.5,1
023,2,green,False,60,4,"1,1,1,1,1,0,0,0",5,0.0,green,-7.5,1
023,2,green,False,60,5,"1,1,1,1,1,0,0,0",5,0.0,green,-7.5,1
023,2,green,False,60,6,"1,1,1,1,1,0,0,0",5,0.0,green,-7.5,1
023,2,green,False,60,7,"1,1,1,1,1,0,0,0",5,0.0,green,-7.5,1
023,2,green,False,60,8,"1,1,1,1,1,0,0,0",5,0.0,green,-7.5,1
023,3,green,False,60,0,"1,1,1,1,0,1,0,0",5,0.5027777777777778,green,-6.5,1
023,3,green,False,60,1,"1,1,1,1,0,1,0,0",5,0.4361111111111111,green,-6.5,1
023,3,green,False,60,2,"1,1,1,1,0,1,0,0",5,0.29444444444444445,green,-6.5,1
023,3,green,False,60,3,"1,1,1,1,0,1,0,0",5,0.1569444444444445,green,-6.5,1
023,3,green,False,60,4,"1,1,1,1,0,1,0,0",5,0.0,green,-6.5,1
023,3,green,False,60,5,"1,1,1,1,0,1,0,0",5,0.03472222222222221,green,-6.5,1
023,3,green,False,60,6,"1,1,1,1,0,1,0,0",5,0.0,green,-6.5,1
023,3,green,False,60,7,"1,1,1,1,0,1,0,0",5,0.0,green,-6.5,1
023,3,green,False,60,8,"1,1,1,1,0,1,0,0",5,0.0,green,-6.5,1
023,4,green,False,60,0,"0,1,1,1,1,1,1,1",7,0.5,green,3.5,1
023,4,green,False,60,1,"0,1,1,1,1,1,1,1",7,0.5736111111111111,green,3.5,1
023,4,green,False,60,2,"0,1,1,1,1,1,1,1",7,0.4930555555555556,green,3.5,1
023,4,green,False,60,3,"0,1,1,1,1,1,1,1",7,0.39722222222222225,green,3.5,1
023,4,green,False,60,4,"0,1,1,1,1,1,1,1",7,0.29444444444444445,green,3.5,1
023,4,green,False,60,5,"0,1,1,1,1,1,1,1",7,0.16249999999999998,green,3.5,1
023,4,green,False,60,6,"0,1,1,1,1,1,1,1",7,0.05277777777777776,green,3.5,1
023,4,green,False,60,7,"0,1,1,1,1,1,1,1",7,0.002777777777777768,green,3.5,1
023,4,green,False,60,8,"0,1,1,1,1,1,1,1",7,0.002777777777777768,green,3.5,1
023,5,blue,False,60,0,"0,1,1,0,1,1,1,0",5,0.5027777777777778,blue,0.5,1
023,5,blue,False,60,1,"0,1,1,0,1,1,1,0",5,0.3833333333333333,blue,0.5,1
